"BIN"	"name"
"010640006369"	"Товарищество с ограниченной ответственностью ""Өрлеу"""
"010940003325"	"Товарищество с ограниченной ответственностью ""Целина Агро"""
"020540003451"	"Товарищество с ограниченной ответственностью ""Целина Агро-2"""
"030140005178"	"Товарищество с ограниченной ответственностью ""Фирма ""АКСУ"""
"040840005640"	"Товарищество с ограниченной ответственностью ""Сарытомар"""
"041140003077"	"Товарищество с ограниченной ответственностью ""Дамеш"""
"041240011170"	"Товарищество с ограниченной ответственностью ""СХП""Еркін"""
"050740004783"	"Товарищество с ограниченной ответственностью ""Өрлеу-Агро"""
"060140029041"	"Товарищество с ограниченной ответственностью ""ЭкоСофт"""
"060740000283"	"Товарищество с ограниченной ответственностью ""Кокше-Стройтехника"""
"060840003886"	"Товарищество с ограниченной ответственностью ""Нура-Агро"""
"070640000390"	"Товарищество с ограниченной ответственностью ""АСАР-KMW"""
"091040000236"	"Товарищество с ограниченной ответственностью ""Маркетинговое Агентство АКТЕС"""
"091040003994"	"Товарищество с ограниченной ответственностью ""Барма.com"""
"100440002536"	"Товарищество с ограниченной ответственностью ""Юридическое Агентство Аргументы и Факты"""
"100540006582"	"Товарищество с ограниченной ответственностью ""Северное ТО"""
"110740015401"	"Товарищество с ограниченной ответственностью ""АгроКаз-2011"""
"140440019469"	"Товарищество с ограниченной ответственностью ""АкСер 2020"""
""	"Товарищество с ограниченной ответственностью ""СХП Ақмола"""
""	"Товарищество с ограниченной ответственностью ""СХП Ново-Приречное"""
""	"Товарищество с ограниченной ответственностью ""Юнон"""
""	"Товарищество с ограниченной ответственностью ""Арти-М"""
""	"Товарищество с ограниченной ответственностью ""Неон-5"""
"161240018549"	"Товарищество с ограниченной ответственностью ""Маншук Агро"""
"060140006131"	"Государственное учреждение ""Отдел строительства Есильского района"""
"050740010526"	"Товарищество с ограниченной ответственностью ""БЮФ - РАН"""
"071040022709"	"Товарищество с ограниченной ответственностью ""Нолина"""
"071140000117"	"Товарищество с ограниченной ответственностью ""Монстера"""
"071140000127"	"Товарищество с ограниченной ответственностью ""Шефлера"""
"071140000137"	"Товарищество с ограниченной ответственностью ""Ховея"""
"071140013555"	"Товарищество с ограниченной ответственностью ""Мизани"""
"080340017554"	"Товарищество с ограниченной ответственностью ""Ямур"""
"080340017633"	"Товарищество с ограниченной ответственностью ""Фелис"""
"080440006710"	"Товарищество с ограниченной ответственностью ""Бардо"""
"080440006740"	"Товарищество с ограниченной ответственностью ""Гремлин"""
"080440009705"	"Товарищество с ограниченной ответственностью ""Клеома"""
"080440010888"	"Товарищество с ограниченной ответственностью ""Силема"""
"080440016659"	"Товарищество с ограниченной ответственностью ""Туче"""
"080940010340"	"Товарищество с ограниченной ответственностью ""Сайко"""
"081040012684"	"Товарищество с ограниченной ответственностью ""Aza-in"""
"081240001884"	"Товарищество с ограниченной ответственностью ""Тайман Плюс"""
"090140004468"	"Товарищество с ограниченной ответственностью ""Casio Plus"""
"091240019185"	"Товарищество с ограниченной ответственностью ""АвтоДельта"""
"111040005719"	"Товарищество с ограниченной ответственностью ""Охранное агентство Бастион-Актобе"""
""	"Товарищество с ограниченной ответственностью ""Каргалы"""
""	"Товарищество с ограниченной ответственностью ""Колик-Сапар"""
""	"Товарищество с ограниченной ответственностью ""ФЕНИКС"""
