"BIN"	"name"
"000240007132"	"Товарищество с ограниченной ответственностью ""МТС-Коргалжын"""
"000540005553"	"Товарищество с ограниченной ответственностью ""МЖТС"""
"010240008836"	"Товарищество с ограниченной ответственностью ""АстыкАгроКомпани"""
"010340001248"	"Товарищество с ограниченной ответственностью ""Альфа-Сервис 2014"""
"010440003575"	"Товарищество с ограниченной ответственностью ""ТРИГОН"""
"010640006448"	"Товарищество с ограниченной ответственностью ""Карьер-Кум"""
"010840005744"	"Товарищество с ограниченной ответственностью ""Кокшереактив"""
"010940002753"	"Товарищество с ограниченной ответственностью ""Фирма Кыпшак-Керей"""
"011040010982"	"товарищество с ограниченной ответственностью ""ДИДАР-АГРО"""
"011140000196"	"Товарищество с ограниченной ответственностью ""Алмат-Кокшетау"""
"011140000285"	"Товарищество с ограниченной ответственностью ""IT Engineering"""
"011140001283"	"Товарищество с ограниченной ответственностью ""Теплострой-А"""
"011140003864"	"Товарищество с ограниченной ответственностью ""Крупный Купец"""
"011240003352"	"Товарищество с ограниченной ответственностью ""Эксперимент Ч и Н"""
"020240007156"	"Товарищество с ограниченной ответственностью ""АЗМИР и К"""
"020240011253"	"товарищество с ограниченной ответственностью ""ART-CITY"" ""АРТ-СИТИ"""
"020340001963"	"Товарищество с ограниченной ответственностью ""SKa TRADE"""
"020340003464"	"Товарищество с ограниченной ответственностью ""Аманат и К"""
"020440001124"	"Товарищество с ограниченной ответственностью ""ТРИАСС- Степногорск"""
"020540003124"	"Товарищество с ограниченной ответственностью ""АНТОМ-СТРОЙ"""
"020641012787"	"Кокшетауский филиал товарищества с ограниченной ответственностью ""КОМАН"" промышленное строительство мельниц и торговли ЛТД"
"020641014733"	"Кокшетауский филиал товарищества с ограниченной ответственностью ""Carlsberg Kazakhstan (Карлсберг Казахстан)"""
"020740003390"	"Товарищество с ограниченной ответственностью ""Интекс СТ"""
"020740006463"	"Товарищество с ограниченной ответственностью""Атбасарское ХПП"""
"020840004430"	"Товарищество с ограниченной ответственностью ""Интегралстройтехнология"""
"020940001142"	"Товарищество с ограниченной ответственностью ""РИОМА"""
"020940001201"	"Товарищество с ограниченной ответственностью ""БСТ Групп"""
"020940001599"	"Товарищество с ограниченной ответственностью ""Компания ""Альянс и К"""
"030140000048"	"Товарищество с ограниченной ответственностью ""Akmola Green Service"""
"030340002597"	"Товарищество с ограниченной ответственностью ""Виген-Ақмола"""
"030340006391"	"Товарищество с ограниченной ответственностью ""Корсар LTD"""
"030440000118"	"Товарищество с ограниченной ответственностью СК ""АРАЙ"""
"030540005658"	"Товарищество с ограниченной ответственностью ""ADC"" (Эй Ди Си)"
"030640006917"	"Товарищество с ограниченной ответственностью ""СЭМ-ПС"""
"030740006128"	"Товарищество с ограниченной ответственностью ""Сенім - Logistics"""
"031040004406"	"Товарищество с ограниченной ответственностью ""ДАФ-3"""
"031140005210"	"Товарищество с ограниченной ответственностью ""АН-К"""
"031240002833"	"Товарищество с ограниченной ответственностью  ""ДиДан 2004"""
"031240008228"	"Товарищество с ограниченной ответственностью ""Атбасар Темир Трейд"""
"040140004697"	"Товарищество с ограниченной ответственностью ""Целина - 50"""
"040240006637"	"Товарищество с ограниченной ответственностью ""АгроDEK"""
"040240011980"	"Товарищество с ограниченной ответственностью ""АКСУ- ТЕРМИНАЛ"""
"040340000146"	"Товарищество с ограниченной ответственностью ""Лашын Инвест Холдинг"""
"040540008070"	"Товарищество с ограниченной ответственностью ""Металлобаза-Sт"""
"040740001199"	"Товарищество с ограниченной ответственностью ""Жас-Кокше"""
"040740005429"	"Товарищество с ограниченной ответственностью ""Кокшетау Мунай Компани"""
"040840008813"	"Товарищество с ограниченной ответственностью ""АКМОЛА СОЛТ КОМПАНИ"""
"040940004676"	"Товарищество с ограниченной ответственностью ""Аммар-777"""
"041040003390"	"Товарищество с ограниченной ответственностью ""Торғай дән азық"""
"041240002865"	"Товарищество с ограниченной ответственностью ""Жигер. Т."""
"041240005641"	"Товарищество с ограниченной ответственностью ""КокшетауВторМет"""
"050140013579"	"Товарищество с ограниченной ответственностью ""Строительная компания ""Атлант"""
"050140015981"	"Товарищество с ограниченной ответственностью ""Стройсеверпласт"""
"050240011497"	"Товарищество с ограниченной ответственностью ""Астананан KZ"""
"050240011635"	"Товарищество с ограниченной ответственностью ""Круида-Агротех"""
"050240016735"	"Товарищество с ограниченной ответственностью ""Астана Негіз Инжиниринг"""
"050240027275"	"Товарищество с ограниченной ответственностью ""МТС-Дружба"""
"050340001989"	"Товарищество с ограниченной ответственностью ""Боровое"""
"050440003959"	"Товарищество с ограниченной ответственностью "" TREK - NORD Степногорск """
"050540004782"	"Товарищество с ограниченной ответственностью ""Кокше Интер Прод"""
"050641012574"	"Щучинский филиал товарищества с ограниченной ответственностью ""SV VELES"""
"050642020868"	"Представительство Общества с ограниченной ответственностью ""DM MASTER CORPORATION"" в Республике Казахстан"
"050740004680"	"Товарищество с ограниченной ответственностью ""БАЙТ-S"""
"050940000823"	"Товарищество с ограниченной ответственностью ""KVARTA-KSI"""
"050940005051"	"Товарищество с ограниченной ответственностью ""Компания Техмаркет"""
"051140004136"	"Товарищество с ограниченной ответственностью ""Сабынды-Инерт"""
"051240002708"	"Товарищество с ограниченной ответственностью ""СтройКурылыс-2030"""
"051240016044"	"Товарищество с ограниченной ответственностью ""НурСтройПроект"""
"051240018942"	"Товарищество с ограниченной ответственностью ""АТД-НС"""
"060340001118"	"Товарищество с ограниченной ответственностью ""РАЙЫМБЕК К"""
"060340020253"	"Товарищество с ограниченной ответственностью ""УЛУТАУ-НЕРУД 1"""
"060340027391"	"Товарищество с ограниченной ответственностью ""Тұмар-2006"""
"060441022902"	"Филиал ОАО ""Лизинговая компания Кыргызайылтехсервис"""
"060540000098"	"Товарищество с ограниченной ответственностью ""Sayazhai"""
"060540012190"	"Товарищество с ограниченной ответственностью ""CPM Alliance Group"""
"060841008585"	"Атбасарский филиал ТОО ""ОМИРБЕК"""
"061040003166"	"Товарищество с ограниченной ответственностью ""Кокше-КаСат-2006"""
"061240004200"	"Товарищество с ограниченной ответственностью СП ""Спецпластводстрой"""
"070240002451"	"Товарищество с ограниченной ответственностью ""БояуБел"""
"070240004824"	"Товарищество с ограниченной ответственностью ""ИАСИН"" НС"
"070240007274"	"Товарищество с ограниченной ответственностью ""Жаңа Құрылыс"""
"070340012393"	"Товарищество с ограниченной ответственностью ""Арна-Ник"""
"070640000063"	"Акционерное общество ""TAMIZ INVEST GROUP"""
"070640014509"	"Товарищество с ограниченной ответственностью ""Кайнар-Көкше"""
"070640015120"	"Товарищество с ограниченной ответственностью ""Ароян"""
"070640015646"	"Товарищество с ограниченной ответственностью ""Алтын Казна 2007"""
"070640020711"	"Товарищество с ограниченной ответственностью ""АРИКО-7"""
