"kato"	"ab"	"cd"	"ef"	"hij"	"k"	"name__kk"	"name__ru"	"nn"
"111033000"	"11"	"10"	"33"	"000"	"2"	"Красный Яр а.о."	"Красноярский с.о."	""
"111033100"	"11"	"10"	"33"	"100"	"2"	"Красный Яр а."	"с.Красный Яр"	""
"111033300"	"11"	"10"	"33"	"300"	"2"	"Қызылжұлдыз а."	"с.Кызылжулдуз"	""
"111037000"	"11"	"10"	"37"	"000"	"1"	"Станционный к.ә."	"Станционная п.а."	""
"111037100"	"11"	"10"	"37"	"100"	"1"	"Станционный к."	"п.Станционный"	""
"111800000"	"11"	"18"	"00"	"000"	"3"	"Степногор Қ.Ә."	"Степногорск Г.А."	"02"
"111810000"	"11"	"18"	"10"	"000"	"1"	"Степногор қ."	"г.Степногорск"	""
"111833000"	"11"	"18"	"33"	"000"	"1"	"Ақсу к.ә."	"Аксуская п.а."	""
"111833100"	"11"	"18"	"33"	"100"	"1"	"Ақсу к."	"п.Аксу"	""
"111837000"	"11"	"18"	"37"	"000"	"1.0"	"Бестөбе к.ә."	"Бестобинская п.а."	""
"111837100"	"11"	"18"	"37"	"100"	"1"	"Бестөбе к."	"п.Бестобе"	""
"111841000"	"11"	"18"	"41"	"000"	"1"	"Зауыт к.ә."	"Заводская п.а."	""
"111841100"	"11"	"18"	"41"	"100"	"1"	"Зауыт к."	"п.Заводской"	""
"111843000"	"11"	"18"	"43"	"000"	"2"	"Қарабұлақ   а.ә."	"Карабулакская с.а."	""
"111843100"	"11"	"18"	"43"	"100"	"2"	"Қарабұлақ а."	"с.Карабулак"	""
"111843105"	"11"	"18"	"43"	"105"	"2"	"Көксал а."	"с.Коксал"	""
"111843107"	"11"	"18"	"43"	"107"	"2"	"Первомайка а."	"с.Первомайка"	""
"111845000"	"11"	"18"	"45"	"000"	"3"	"Шаңтөбе к.ә."	"Шантобинская п.а."	""
"111845100"	"11"	"18"	"45"	"100"	"1"	"Шаңтөбе к."	"п.Шантобе"	""
"111845200"	"11"	"18"	"45"	"200"	"2"	"Новокронштадка а."	"с.Hовокронштадка"	""
"111847000"	"11"	"18"	"47"	"000"	"2"	"Бөгембай а.о."	"Богембайский с.о."	""
"111847100"	"11"	"18"	"47"	"100"	"2"	"Степногор а."	"с.Степногорское"	""
"111847300"	"11"	"18"	"47"	"300"	"2"	"Бөгембай а."	"с.Богембай"	""
"111849000"	"11"	"18"	"49"	"000"	"2"	"Изобильный а.ә."	"с.а.Изобильный"	""
"111849100"	"11"	"18"	"49"	"100"	"2"	"Изобильное а."	"с.Изобильное"	""
"111851000"	"11"	"18"	"51"	"000"	"2"	"Қырыққұдық а.ә."	"с.а.Кырыккудык"	""
"111851100"	"11"	"18"	"51"	"100"	"2"	"Қырыққұдық а."	"с.Кырыккудык"	""
"113200000"	"11"	"32"	"00"	"000"	"4"	"Ақкөл ауданы"	"Аккольский район"	"03"
"113220000"	"11"	"32"	"20"	"000"	"3"	"Ақкөл қ.ә."	"Аккольская г.а."	""
"113220100"	"11"	"32"	"20"	"100"	"1"	"Ақкөл қ."	"г.Акколь"	""
"113220200"	"11"	"32"	"20"	"200"	"2"	"Алексеев орманшар"	"лесхоз Алексеевский"	""
"113220300"	"11"	"32"	"20"	"300"	"2"	"Ерназар а."	"с.Ерназар"	""
"113220400"	"11"	"32"	"20"	"400"	"2"	"Радовка а."	"с.Радовка"	""
"113239000"	"11"	"32"	"39"	"000"	"2"	"Азат а.ә."	"с.а.Азат"	""
"113239100"	"11"	"32"	"39"	"100"	"2"	"Азат а."	"с.Азат"	""
"113241000"	"11"	"32"	"41"	"000"	"2"	"Қарасай а.о."	"Карасайский с.о."	""
"113241100"	"11"	"32"	"41"	"100"	"2"	"Қына а."	"с.Кына"	""
"113241200"	"11"	"32"	"41"	"200"	"2"	"Қарасай а."	"с.Карасай"	""
"113241300"	"11"	"32"	"41"	"300"	"2"	"Минское а."	"с.Минское"	""
"113241303"	"11"	"32"	"41"	"303"	"2"	"Селета а."	"с.Селета"	""
"113243000"	"11"	"32"	"43"	"000"	"2"	"Кеңес а.о."	"Кенесский с.о."	""
"113243100"	"11"	"32"	"43"	"100"	"2"	"Домбыралы а."	"с.Домбыралы"	""
"113243200"	"11"	"32"	"43"	"200"	"2"	"Кеңес а."	"с.Кенес"	""
"113243300"	"11"	"32"	"43"	"300"	"2"	"Красный Горняк а."	"с.Красный Горняк"	""
"113243400"	"11"	"32"	"43"	"400"	"2"	"Малый Барап а."	"с.Малый Барап"	""
"113247000"	"11"	"32"	"47"	"000"	"2"	"Наумов а.о."	"Hаумовский с.о."	""
"113247100"	"11"	"32"	"47"	"100"	"2"	"Наумовка а."	"с.Hаумовка"	""
"113247107"	"11"	"32"	"47"	"107"	"2"	"Филипповка а."	"с.Филипповка"	""
"113247200"	"11"	"32"	"47"	"200"	"2"	"Виноградовка а."	"с.Виноградовка"	""
"113247300"	"11"	"32"	"47"	"300"	"2"	"Өрнек а."	"с.Орнек"	""
"113249000"	"11"	"32"	"49"	"000"	"2"	"Новорыбинка а.о."	"Hоворыбинский с.о."	""
"113249100"	"11"	"32"	"49"	"100"	"2"	"Новорыбинка а."	"с.Hоворыбинка"	""
"113249200"	"11"	"32"	"49"	"200"	"2"	"Қараөзек а."	"с.Кара-Озек"	""
"113249300"	"11"	"32"	"49"	"300"	"2"	"Құрылыс а."	"с.Курылыс"	""
"113251000"	"11"	"32"	"51"	"000"	"2"	"Жалғызқарағай а.о."	"Жалгызкарагайский с.о."	""
"113251100"	"11"	"32"	"51"	"100"	"2"	"Жалғызқарағай а."	"с.Жалгызкарагай"	""
"113251200"	"11"	"32"	"51"	"200"	"2"	"Қайнар а."	"с.Кайнар"	""
"113251300"	"11"	"32"	"51"	"300"	"2"	"Тастыадыр а."	"с.Тастыадыр"	""
"113253000"	"11"	"32"	"53"	"000"	"2"	"Еңбек а.о."	"Енбекский с.о."	""
"113253100"	"11"	"32"	"53"	"100"	"2"	"Еңбек а."	"с.Енбек"	""
"113253300"	"11"	"32"	"53"	"300"	"2"	"Кирово а."	"с.Кирово"	""
"113253400"	"11"	"32"	"53"	"400"	"2"	"Подлесное а."	"с.Подлесное"	""
"113255000"	"11"	"32"	"55"	"000"	"2"	"Урюпин а.о."	"Урюпинский с.о."	""
"113255100"	"11"	"32"	"55"	"100"	"2"	"Урюпинка а."	"с.Урюпинка"	""
"113255200"	"11"	"32"	"55"	"200"	"2"	"Амангелді а."	"с.Амангельды"	""
"113255500"	"11"	"32"	"55"	"500"	"2"	"Ерофеевка а."	"с.Ерофеевка"	""
"113255600"	"11"	"32"	"55"	"600"	"2"	"Талқара а."	"с.Талкара"	""
"113255700"	"11"	"32"	"55"	"700"	"2"	"Малоалександровка а."	"с.Малоалександровка"	""
"113400000"	"11"	"34"	"00"	"000"	"2"	"Аршалы ауданы"	"Aршалынский район"	"04"
"113430000"	"11"	"34"	"30"	"000"	"2"	"Аршалы к.ә."	"Аршалынская п.а."	""
"113430100"	"11"	"34"	"30"	"100"	"2"	"Аршалы к."	"п.Аршалы"	""
"113431000"	"11"	"34"	"31"	"000"	"2"	"Ақбұлақ а.о."	"Акбулакский с.о."	""
"113431100"	"11"	"34"	"31"	"100"	"2"	"Ақбұлақ а."	"с.Акбулак"	""
"113431180"	"11"	"34"	"31"	"180"	"2"	"Ақтасты а."	"с.Актасты"	""
"113433000"	"11"	"34"	"33"	"000"	"2"	"Жібек жолы а.о."	"с.о. Жибек жолы"	""
"113433100"	"11"	"34"	"33"	"100"	"2"	"Жібек жолы а."	"с.Жибек жолы"	""
"113433200"	"11"	"34"	"33"	"200"	"2"	"Жалтыркөл а."	"с.Жалтырколь"	""
"113433300"	"11"	"34"	"33"	"300"	"2"	"рзд.41"	"рзд.41"	""
"113433400"	"11"	"34"	"33"	"400"	"2"	"рзд.102"	"рзд.102"	""
"113435000"	"11"	"34"	"35"	"000"	"2"	"Анар а.о."	"Анарский с.о."	""
"113435100"	"11"	"34"	"35"	"100"	"2"	"Анар ст."	"ст.Анар"	""
"113435500"	"11"	"34"	"35"	"500"	"2"	"Донецкое а."	"с.Донецкое"	""
"113437000"	"11"	"34"	"37"	"000"	"2"	"Бірсуат а.о."	"Берсуатский с.о."	""
"113437100"	"11"	"34"	"37"	"100"	"2"	"Бірсуат а."	"с.Берсуат"	""
"113437107"	"11"	"34"	"37"	"107"	"2"	"Шалғай а."	"с. Шалгай"	""
"113437200"	"11"	"34"	"37"	"200"	"2"	"Байдала а."	"с.Байдала"	""
"113441000"	"11"	"34"	"41"	"000"	"2"	"Волгодоновка а.о."	"Волгодоновский с.о."	""
"113441100"	"11"	"34"	"41"	"100"	"2"	"Волгодоновка а."	"с.Волгодоновка"	""
"113441500"	"11"	"34"	"41"	"500"	"2"	"Қойкелді а."	"с.Койгельды"	""
"113441503"	"11"	"34"	"41"	"503"	"2"	"Береке а."	"с.Береке"	""
"113441600"	"11"	"34"	"41"	"600"	"2"	"рзд.42"	"рзд.42"	""
"113442000"	"11"	"34"	"42"	"000"	"2"	"Арнасай а.о."	"с.о.Арнасай"	""
"113442100"	"11"	"34"	"42"	"100"	"2"	"Арнасай а."	"с.Арнасай"	""
"113442200"	"11"	"34"	"42"	"200"	"2"	"Бабатай ст."	"ст.Бабатай"	""
"113443000"	"11"	"34"	"43"	"000"	"2"	"Ижев а.о."	"Ижевский с.о."	""
"113443100"	"11"	"34"	"43"	"100"	"2"	"Ижевское а."	"с.Ижевское"	""
"113443200"	"11"	"34"	"43"	"200"	"2"	"Шөптікөл ст."	"ст.Шоптиколь"	""
"113445000"	"11"	"34"	"45"	"000"	"2"	"Константинов а.о."	"Константиновский с.о."	""
"113445100"	"11"	"34"	"45"	"100"	"2"	"Константиновка а."	"с.Константиновка"	""
"113445200"	"11"	"34"	"45"	"200"	"2"	"Белоярка а."	"с.Белоярка"	""
"113445400"	"11"	"34"	"45"	"400"	"2"	"Шортанды а."	"с.Шортанды"	""
"113447000"	"11"	"34"	"47"	"000"	"2"	"Түрген а.о."	"с.о.Турген"	""
"113447100"	"11"	"34"	"47"	"100"	"2"	"Түрген а."	"с.Турген"	""
"113447200"	"11"	"34"	"47"	"200"	"2"	"Красное Озеро а."	"с.Красное Озеро"	""
